종목명,종목코드,시장
삼성전자,005930,KOSPI
SK하이닉스,000660,KOSPI
삼성바이오로직스,207940,KOSPI
LG에너지솔루션,373220,KOSPI
삼성SDI,006400,KOSPI
현대차,005380,KOSPI
기아,000270,KOSPI
POSCO홀딩스,005490,KOSPI
LG화학,051910,KOSPI
셀트리온,068270,KOSPI
KB금융,105560,KOSPI
신한지주,055550,KOSPI
하나금융지주,086790,KOSPI
우리금융지주,316140,KOSPI
삼성물산,028260,KOSPI
현대모비스,012330,KOSPI
SK이노베이션,096770,KOSPI
SK,034730,KOSPI
LG,003550,KOSPI
한국전력,015760,KOSPI
두산에너빌리티,034020,KOSPI
HD현대중공업,329180,KOSPI
한화에어로스페이스,012450,KOSPI
한화엔진,082740,KOSPI
한화오션,042660,KOSPI
한화솔루션,009830,KOSPI
한화,000880,KOSPI
대한전선,001440,KOSPI
대원전선,006340,KOSPI
케이엠더블유,032500,KOSDAQ
카카오,035720,KOSPI
NAVER,035420,KOSPI
SK텔레콤,017670,KOSPI
KT,030200,KOSPI
LG전자,066570,KOSPI
삼성E&A,028050,KOSPI
현대건설,000720,KOSPI
GS건설,006360,KOSPI
대우건설,047040,KOSPI
고려아연,010130,KOSPI
S-Oil,010950,KOSPI
롯데케미칼,011170,KOSPI
금호석유화학,011780,KOSPI
OCI홀딩스,010060,KOSPI
대한항공,003490,KOSPI
아시아나항공,020560,KOSPI
제주항공,089590,KOSPI
진에어,272450,KOSPI
HMM,011200,KOSPI
팬오션,028670,KOSPI
강원랜드,035250,KOSPI
파라다이스,034230,KOSPI
GKL,114090,KOSPI
이마트,139480,KOSPI
신세계,004170,KOSPI
롯데쇼핑,023530,KOSPI
BGF리테일,282330,KOSPI
GS리테일,007070,KOSPI
CJ제일제당,097950,KOSPI
오리온,271560,KOSPI
농심,004370,KOSPI
하이트진로,000080,KOSPI
KCC,002380,KOSPI
한국가스공사,036460,KOSPI
HD한국조선해양,009540,KOSPI
삼성중공업,010140,KOSPI
카카오뱅크,323410,KOSPI
카카오페이,377300,KOSPI
크래프톤,259960,KOSPI
하이브,352820,KOSPI
에스엠,041510,KOSDAQ
JYP Ent.,035900,KOSDAQ
와이지엔터테인먼트,122870,KOSDAQ
에코프로비엠,247540,KOSDAQ
에코프로,086520,KOSDAQ
포스코퓨처엠,003670,KOSPI
엘앤에프,066970,KOSDAQ
코스모신소재,005070,KOSPI
천보,278280,KOSDAQ
솔브레인,357780,KOSDAQ
SK아이이테크놀로지,361610,KOSPI
롯데에너지머티리얼즈,020150,KOSPI
고려아연,010130,KOSPI
삼성전기,009150,KOSPI
LG이노텍,011070,KOSPI
삼성SDI,006400,KOSPI
LS,006260,KOSPI
LS ELECTRIC,010120,KOSPI
HD현대일렉트릭,267260,KOSPI
효성중공업,298040,KOSPI
HD현대일렉트릭,267260,KOSPI
두산밥캣,241560,KOSPI
HD현대인프라코어,042670,KOSPI
기업은행,024110,KOSPI
BNK금융지주,138930,KOSPI
iM금융지주,139130,KOSPI
JB금융지주,175330,KOSPI
메리츠금융지주,138040,KOSPI
삼성생명,032830,KOSPI
한화생명,088350,KOSPI
미래에셋증권,006800,KOSPI
삼성증권,016360,KOSPI
NH투자증권,005940,KOSPI
키움증권,039490,KOSDAQ
펄어비스,263750,KOSDAQ
NC,036570,KOSPI
넷마블,251270,KOSPI
카카오게임즈,293490,KOSDAQ
위메이드,112040,KOSDAQ
컴투스,078340,KOSDAQ
컴투스홀딩스,063080,KOSDAQ
셀트리온헬스케어,091990,KOSDAQ
셀트리온제약,068760,KOSDAQ
삼성바이오로직스,207940,KOSPI
한미약품,128940,KOSPI
유한양행,000100,KOSPI
대웅제약,069620,KOSDAQ
종근당,185750,KOSPI
동아에스티,170900,KOSPI
광동제약,009290,KOSPI
일동홀딩스,000230,KOSPI
보령,003850,KOSPI
HLB,028300,KOSDAQ
HLB생명과학,067630,KOSDAQ
알테오젠,196170,KOSDAQ
리가켐바이오,141080,KOSDAQ
오스코텍,039200,KOSDAQ
파미셀,005690,KOSPI
메디톡스,086900,KOSDAQ
휴젤,145020,KOSDAQ
클래시스,214150,KOSDAQ
제이시스메디칼,287410,KOSDAQ
이오테크닉스,039030,KOSDAQ
원익IPS,240810,KOSDAQ
피에스케이,319660,KOSDAQ
HPSP,403870,KOSDAQ
리노공업,058470,KOSDAQ
테크윙,089030,KOSDAQ
가온전선,000500,KOSPI
LS에코에너지,229640,KOSDAQ
제룡전기,033100,KOSDAQ
에넥스,011090,KOSDAQ
양지사,030960,KOSDAQ
